Pair,Base Sim,FT Sim,Coll (Fixed),Coll (R512),R512 Adv,Supp (Fixed),Supp (R512),Sel (Fixed),Sel (R512),IP-Pos ~,IP-Neg ~,R512-Pos ~,R512-Neg ~
informal / slang,0.858,0.896,0.988,0.981,0.007,0.998,0.993,0.009,0.012,0.339,0.401,0.324,0.411
passive-aggression / wit,0.832,0.847,1.017,1.011,0.006,1.003,0.985,-0.014,-0.026,0.369,0.421,0.376,0.424
sadistic / pessimism,0.829,0.872,0.998,0.996,0.002,1.0,0.987,0.002,-0.009,0.324,0.354,0.367,0.374
defensiveness / rebellion,0.547,0.629,0.999,0.997,0.002,1.011,0.999,0.012,0.002,0.212,0.357,0.268,0.38
apologetic / playful,0.5,0.471,1.005,0.99,0.015,0.988,0.972,-0.017,-0.018,0.226,0.45,0.227,0.457
sarcasm / paranoia,0.493,0.538,1.009,0.995,0.015,1.001,0.989,-0.008,-0.005,0.306,0.33,0.335,0.355
dramatic / gaslighting,0.462,0.469,0.964,0.926,0.039,0.989,0.964,0.025,0.039,0.211,0.301,0.235,0.29
monotone / enthusiasm,0.392,-0.065,1.029,0.953,0.076,0.984,0.944,-0.045,-0.009,0.188,0.317,0.23,0.32
informal / assertiveness,0.383,0.439,0.972,0.893,0.079,1.224,0.458,0.252,-0.435,0.22,0.286,0.241,0.336
cheater / philosophical,0.376,0.28,0.951,0.967,-0.016,0.982,0.963,0.031,-0.004,0.21,0.365,0.258,0.369
shakespearean / manipulative,0.352,0.657,0.711,0.323,0.388,0.86,0.769,0.149,0.446,0.218,0.289,0.245,0.307
brevity / enthusiasm,0.28,0.118,0.775,0.611,0.164,0.993,0.959,0.218,0.348,0.128,0.317,0.142,0.32
fanaticism / ALL-CAPS,0.246,0.522,1.006,0.999,0.007,0.997,0.999,-0.009,-0.0,0.223,0.173,0.224,0.2
poetic / mathematical,0.141,-0.072,0.948,0.158,0.789,0.977,1.181,0.029,1.023,0.171,0.244,0.227,0.297
